Codigo,Producto,Existencia,Precio venta,Precio mayoreo,Departamento,Actualizado
QUEMADOR1,Quemador De Chicharron,0.0,420.0,380.0,PUEBLA,2026-09-08 00:37:17
Q.E,QUEMADOR ESTRELLA NO#15,7.0,160.0,0.0,PUEBLA,2026-09-08 00:37:17
645,QUEMADOR ESTRELLA NO#20 CHICO,5.0,180.0,0.0,PUEBLA,2026-09-08 00:37:17
644,QUEMADOR ESTRELLA NO#20 MEDIANO,0.0,170.0,150.0,QUEMADORES (Eliminado 23/07/2024),2026-09-08 00:37:17
646,QUEMADOR ESTRELLA NO#30,5.0,220.0,170.0,PUEBLA,2026-09-08 00:37:17
647,QUEMADOR ESTRELLA NO#40,12.0,240.0,200.0,PUEBLA,2026-09-08 00:37:17
648,QUEMADOR ESTRELLA NO#50,9.0,300.0,0.0,PUEBLA,2026-09-08 00:37:17
649,QUEMADOR ESTRELLA NO#60,0.0,300.0,250.0,QUEMADORES (Eliminado 23/07/2024),2026-09-08 00:37:17
650,QUEMADOR ESTRELLA NO#70,0.0,350.0,290.0,QUEMADORES (Eliminado 23/07/2024),2026-09-08 00:37:17
651,QUEMADOR ESTRELLA NO#80,1.0,370.0,300.0,QUEMADORES (Eliminado 23/07/2024),2026-09-08 00:37:17
642,QUEMADOR EXAGONO DOBLER,0.0,230.0,200.0,PUEBLA,2026-09-08 00:37:17
QGN66,QUEMADOR GRANDE REDONDO NORMAL,8.0,75.0,65.0,PUEBLA,2026-09-08 00:37:17
6802,QUEMADOR GRIS,3.0,200.0,0.0,PUEBLA,2026-09-08 00:37:17
QMEP66,QUEMADOR MOVIBLE CON ENTRADA PILOTO,5.0,120.0,90.0,QUEMADORES (Eliminado 23/07/2024),2026-09-08 00:37:17
643,QUEMADOR REDONDO,6.0,200.0,160.0,LION TOOLS,2026-09-08 00:37:17
QRCHN66,QUEMADOR REDONDO CHICO NORMAL,0.0,50.0,0.0,PUEBLA,2026-09-08 00:37:17
QST77,QUEMADOR SENCILLO CON TUBO,0.0,50.0,0.0,QUEMADORES (Eliminado 23/07/2024),2026-09-08 00:37:17
6966235108161,Radio Megafono Buytiti,2.0,150.0,80.0,casa,2026-09-08 00:37:17
2022101116372,RADIO SOLAR FX,0.0,280.0,170.0,bvh,2026-09-08 00:37:17
RAFIA BLANCA,Rafia Color BLANCA,0.0,35.0,30.0,PUEBLA,2026-09-08 00:37:17
RAFIA ROJA,RAFIA Roja,0.0,60.0,55.0,PUEBLA,2026-09-08 00:37:17
ALS-006,Raqueta Alefco,0.0,85.0,0.0,bvh,2026-09-08 00:37:17
6957216800082,RAQUETA GECKO,0.0,85.0,0.0,ASGA,2026-09-08 00:37:17
5748620201777,Raqueta Jafepa,0.0,85.0,60.0,HUAJUAPAN,2026-09-08 00:37:17
7503044566660,Raqueta Lion Tools 8806,0.0,80.0,55.0,hogar (Eliminado 23/07/2024),2026-09-15 17:20:27
7506283701533,RAQUETA MATAMOSQUITOS,2.0,85.0,80.0,PUEBLA,2026-09-09 20:13:37
6940439101821,Raquetas Fussion,0.0,95.0,60.0,MEXICO,2026-09-08 00:37:17
7501009222729,Rastrillo  Presto BUltra,66.0,12.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 22:37:00
7501206650301,Rastrillo Arco 16 Dientes Classic Mgo54,1.0,230.0,0.0,JARDINERIA (Eliminado 23/07/2024),2026-09-08 00:37:17
RASTRILLO PLUS,RASTRILLO DE METAL,24.0,35.0,0.0,ASGA,2026-09-08 00:37:17
8801038570037,Rastrillo Dorco,110.0,25.0,18.0,PUEBLA,2026-09-08 19:18:53
8801038570020,Rastrillo Dorco Lubricanbte Amarillo,0.0,30.0,20.0,PUEBLA,2026-09-08 00:37:17
8801038570013,Rastrillo Dorco Lubricante Azul,92.0,30.0,20.0,PUEBLA,2026-09-08 00:37:17
